,new_cases_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Africa,Asia,Europe,North America,Oceania,South America
40,1225.589,40.515,1.0314999999999999,0.20350000000000001,4.9,64.06,61.27,11.22,42.59,231.845,32.1,6.933,4.631,21490.943,2.2,191.511,13.17,5.3,19.75,85.198,3.8,77.02,0.778,0,0,0,1,0,0
41,0.0,0.0,1.0314999999999999,0.20350000000000001,4.9,64.06,61.27,11.22,42.59,231.845,32.1,6.933,4.631,21490.943,2.2,191.511,13.17,5.3,19.75,85.198,3.8,77.02,0.778,0,0,0,1,0,0
42,1077.099,5.262,1.802,0.44,2.3,88.21,77.72,29.97,49.07,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,72.469,5.0,76.67,0.845,0,0,0,0,0,1
43,988.251,7.039,1.676,0.411,2.4,88.28,77.85,30.46,49.07,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,72.469,5.0,76.67,0.845,0,0,0,0,0,1
44,930.517,6.973,1.522,0.395,2.5,88.35,77.98,30.89,49.07,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,72.469,5.0,76.67,0.845,0,0,0,0,0,1
45,879.142,6.293,1.42,0.375,2.7,88.42,78.11,31.39,49.07,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,72.469,5.0,76.67,0.845,0,0,0,0,0,1
46,478.799,3.179,1.357,0.366,2.7,88.45,78.16,31.61,49.07,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,72.469,5.0,76.67,0.845,0,0,0,0,0,1
47,277.684,2.193,1.308,0.36,2.8,88.46,78.19,31.76,49.07,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,72.469,5.0,76.67,0.845,0,0,0,0,0,1
48,557.078,5.679,1.203,0.334,3.0,88.53,78.33,32.19,49.07,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,72.469,5.0,76.67,0.845,0,0,0,0,0,1
49,1053.526,1.011,2.482,0.373,2.7,35.52,28.94,0.42,56.48,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,0,1,0,0,0,0
50,1332.827,1.348,2.588,0.391,2.6,35.52,28.94,0.42,56.48,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,0,1,0,0,0,0
51,1478.373,1.685,2.595,0.403,2.5,35.52,28.94,0.42,56.48,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,0,1,0,0,0,0
52,1412.338,3.369,2.668,0.417,2.4,35.52,28.94,0.42,56.48,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,0,1,0,0,0,0
53,1358.432,2.021,2.703,0.419,2.4,35.52,28.94,0.42,56.48,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,0,1,0,0,0,0
54,831.164,1.685,2.71,0.423,2.4,35.52,28.94,0.42,56.48,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,0,1,0,0,0,0
55,549.505,3.706,2.658,0.419,2.4,35.52,28.94,0.42,56.48,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,0,1,0,0,0,0
