,iso_code,date,new_cases_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,human_development_index,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America
45,ARG,2/4/2022,879.142,6.293,1.42,0.375,2.7,78.11,49.07,16.177,31.9,11.198,18933.907,0.6,191.032,5.5,16.2,27.7,5.0,0.845,0,0,0,0,0,1
46,ARG,2/5/2022,478.799,3.179,1.357,0.366,2.7,78.16,49.07,16.177,31.9,11.198,18933.907,0.6,191.032,5.5,16.2,27.7,5.0,0.845,0,0,0,0,0,1
47,ARG,2/6/2022,277.684,2.193,1.308,0.36,2.8,78.19,49.07,16.177,31.9,11.198,18933.907,0.6,191.032,5.5,16.2,27.7,5.0,0.845,0,0,0,0,0,1
48,ARG,2/7/2022,557.078,5.679,1.203,0.334,3.0,78.33,49.07,16.177,31.9,11.198,18933.907,0.6,191.032,5.5,16.2,27.7,5.0,0.845,0,0,0,0,0,1
49,ARM,2/1/2022,1053.526,1.011,2.482,0.373,2.7,28.94,56.48,102.931,35.7,11.232,8787.58,1.8,341.01,7.11,1.5,52.1,4.2,0.776,0,1,0,0,0,0
50,ARM,2/2/2022,1332.827,1.348,2.588,0.391,2.6,28.94,56.48,102.931,35.7,11.232,8787.58,1.8,341.01,7.11,1.5,52.1,4.2,0.776,0,1,0,0,0,0
51,ARM,2/3/2022,1478.373,1.685,2.595,0.403,2.5,28.94,56.48,102.931,35.7,11.232,8787.58,1.8,341.01,7.11,1.5,52.1,4.2,0.776,0,1,0,0,0,0
52,ARM,2/4/2022,1412.338,3.369,2.668,0.417,2.4,28.94,56.48,102.931,35.7,11.232,8787.58,1.8,341.01,7.11,1.5,52.1,4.2,0.776,0,1,0,0,0,0
53,ARM,2/5/2022,1358.432,2.021,2.703,0.419,2.4,28.94,56.48,102.931,35.7,11.232,8787.58,1.8,341.01,7.11,1.5,52.1,4.2,0.776,0,1,0,0,0,0
54,ARM,2/6/2022,831.164,1.685,2.71,0.423,2.4,28.94,56.48,102.931,35.7,11.232,8787.58,1.8,341.01,7.11,1.5,52.1,4.2,0.776,0,1,0,0,0,0
55,ARM,2/7/2022,549.505,3.706,2.658,0.419,2.4,28.94,56.48,102.931,35.7,11.232,8787.58,1.8,341.01,7.11,1.5,52.1,4.2,0.776,0,1,0,0,0,0
56,AUS,2/1/2022,1556.757,2.714,4.726,0.151,6.6,78.44,55.56,3.202,37.9,15.504,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,0.944,0,0,0,0,1,0
57,AUS,2/2/2022,939.499,3.18,4.553,0.159,6.3,78.5,55.56,3.202,37.9,15.504,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,0.944,0,0,0,0,1,0
58,AUS,2/3/2022,1247.818,3.335,4.385,0.161,6.2,78.56,55.56,3.202,37.9,15.504,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,0.944,0,0,0,0,1,0
59,AUS,2/4/2022,1060.019,3.141,4.371,0.134,7.5,78.62,55.56,3.202,37.9,15.504,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,0.944,0,0,0,0,1,0
60,AUS,2/5/2022,891.299,1.784,4.197,0.119,8.4,78.65,55.56,3.202,37.9,15.504,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,0.944,0,0,0,0,1,0
61,AUS,2/6/2022,979.013,1.861,4.025,0.125,8.0,78.67,55.56,3.202,37.9,15.504,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,0.944,0,0,0,0,1,0
62,AUS,2/7/2022,1061.454,2.094,3.933,0.108,9.3,78.72,55.56,3.202,37.9,15.504,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,0.944,0,0,0,0,1,0
63,AUT,2/1/2022,2886.74,1.769,82.511,0.0435,23.0,72.11,61.11,106.749,44.4,19.202,45436.686,0.7,145.183,6.35,28.4,30.9,7.37,0.922,0,0,1,0,0,0
64,AUT,2/2/2022,3066.436,1.438,89.348,0.0403,24.8,72.11,61.11,106.749,44.4,19.202,45436.686,0.7,145.183,6.35,28.4,30.9,7.37,0.922,0,0,1,0,0,0
65,AUT,2/3/2022,4863.17,1.769,80.275,0.046,21.7,72.11,61.11,106.749,44.4,19.202,45436.686,0.7,145.183,6.35,28.4,30.9,7.37,0.922,0,0,1,0,0,0
66,AUT,2/4/2022,3720.196,2.322,78.618,0.0466,21.5,72.11,61.11,106.749,44.4,19.202,45436.686,0.7,145.183,6.35,28.4,30.9,7.37,0.922,0,0,1,0,0,0
67,AUT,2/5/2022,4074.722,2.654,78.267,0.0466,21.5,72.11,61.11,106.749,44.4,19.202,45436.686,0.7,145.183,6.35,28.4,30.9,7.37,0.922,0,0,1,0,0,0
68,AUT,2/6/2022,3671.319,1.88,79.319,0.0459,21.8,72.11,61.11,106.749,44.4,19.202,45436.686,0.7,145.183,6.35,28.4,30.9,7.37,0.922,0,0,1,0,0,0
69,AUT,2/7/2022,3315.245,2.765,81.295,0.045,22.2,72.11,61.11,106.749,44.4,19.202,45436.686,0.7,145.183,6.35,28.4,30.9,7.37,0.922,0,0,1,0,0,0
70,AZE,2/1/2022,510.89,2.054,1.256,0.2975,3.4,46.4,79.63,119.309,32.4,6.018,15847.419,1.65,559.812,7.11,0.3,42.5,4.7,0.756,0,1,0,0,0,0
71,AZE,2/2/2022,647.538,2.348,1.35,0.3122,3.2,46.41,79.63,119.309,32.4,6.018,15847.419,1.65,559.812,7.11,0.3,42.5,4.7,0.756,0,1,0,0,0,0
72,AZE,2/3/2022,597.945,1.761,1.237,0.3718,2.7,46.43,79.63,119.309,32.4,6.018,15847.419,1.65,559.812,7.11,0.3,42.5,4.7,0.756,0,1,0,0,0,0
73,AZE,2/4/2022,689.598,2.543,1.373,0.3705,2.7,46.45,79.63,119.309,32.4,6.018,15847.419,1.65,559.812,7.11,0.3,42.5,4.7,0.756,0,1,0,0,0,0
74,AZE,2/5/2022,753.569,2.25,1.593,0.3495,2.9,46.47,79.63,119.309,32.4,6.018,15847.419,1.65,559.812,7.11,0.3,42.5,4.7,0.756,0,1,0,0,0,0
75,AZE,2/6/2022,731.072,2.445,1.813,0.3266,3.1,46.44166666666666,79.63,119.309,32.4,6.018,15847.419,1.65,559.812,7.11,0.3,42.5,4.7,0.756,0,1,0,0,0,0
76,AZE,2/7/2022,457.776,2.641,1.91,0.3282,3.0,46.49,79.63,119.309,32.4,6.018,15847.419,1.65,559.812,7.11,0.3,42.5,4.7,0.756,0,1,0,0,0,0
77,BHS,2/1/2022,110.855,0.0,1.114,0.1189,8.4,38.51,42.59,39.497,34.3,8.996,27717.847,2.2,235.954,13.17,3.1,20.4,2.9,0.814,0,0,0,1,0,0
78,BHS,2/2/2022,98.258,5.039,1.008,0.1296,7.7,38.51,42.59,39.497,34.3,8.996,27717.847,2.2,235.954,13.17,3.1,20.4,2.9,0.814,0,0,0,1,0,0
79,BHS,2/3/2022,88.18,0.0,1.028,0.1064,9.4,38.51,42.59,39.497,34.3,8.996,27717.847,2.2,235.954,13.17,3.1,20.4,2.9,0.814,0,0,0,1,0,0
80,BHS,2/4/2022,0.0,0.0,1.01,0.093,10.8,38.51,42.59,39.497,34.3,8.996,27717.847,2.2,235.954,13.17,3.1,20.4,2.9,0.814,0,0,0,1,0,0
81,BHS,2/5/2022,88.18,2.519,1.035,0.0796,12.6,38.51,42.59,39.497,34.3,8.996,27717.847,2.2,235.954,13.17,3.1,20.4,2.9,0.814,0,0,0,1,0,0
82,BHS,2/6/2022,146.127,10.078,0.998,0.0942,10.6,38.51,42.59,39.497,34.3,8.996,27717.847,2.2,235.954,13.17,3.1,20.4,2.9,0.814,0,0,0,1,0,0
83,BHS,2/7/2022,73.064,0.0,1.086,0.0795,12.6,38.51,42.59,39.497,34.3,8.996,27717.847,2.2,235.954,13.17,3.1,20.4,2.9,0.814,0,0,0,1,0,0
84,BHR,2/1/2022,4674.84,0.0,14.709,0.2457,4.1,68.32,50.93,1935.907,32.4,2.372,43290.705,1.65,151.689,16.52,5.8,37.6,2.0,0.852,0,1,0,0,0,0
85,BHR,2/2/2022,4492.377,0.572,13.963,0.2762,3.6,68.35,50.93,1935.907,32.4,2.372,43290.705,1.65,151.689,16.52,5.8,37.6,2.0,0.852,0,1,0,0,0,0
86,BHR,2/3/2022,4611.922,0.572,15.359,0.2661,3.8,68.37,50.93,1935.907,32.4,2.372,43290.705,1.65,151.689,16.52,5.8,37.6,2.0,0.852,0,1,0,0,0,0
87,BHR,2/4/2022,4160.053,0.0,16.962,0.2439,4.1,68.38,50.93,1935.907,32.4,2.372,43290.705,1.65,151.689,16.52,5.8,37.6,2.0,0.852,0,1,0,0,0,0
88,BHR,2/5/2022,4252.143,0.572,15.97,0.2627,3.8,68.39,50.93,1935.907,32.4,2.372,43290.705,1.65,151.689,16.52,5.8,37.6,2.0,0.852,0,1,0,0,0,0
89,BHR,2/6/2022,4409.439,0.0,14.979,0.2854,3.5,68.43,50.93,1935.907,32.4,2.372,43290.705,1.65,151.689,16.52,5.8,37.6,2.0,0.852,0,1,0,0,0,0
