,iso_code,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
994,WSM,Oceania,Samoa,2/1/2022,159.885,0.0,,,,,,,,,,,200144,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715
995,WSM,Oceania,Samoa,2/2/2022,164.881,4.996,,,,,,,,,,,200144,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715
996,WSM,Oceania,Samoa,2/3/2022,164.881,0.0,,,,,,,,,,,200144,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715
997,WSM,Oceania,Samoa,2/4/2022,164.881,0.0,,,,,,,,,,,200144,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715
998,WSM,Oceania,Samoa,2/5/2022,164.881,0.0,,,,,,,72.0,63.0,,,200144,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715
999,WSM,Oceania,Samoa,2/6/2022,164.881,0.0,,,,,,,,,,,200144,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715
1000,WSM,Oceania,Samoa,2/7/2022,164.881,0.0,,,,,,,,,,,200144,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715
1071,SLB,Oceania,Solomon Islands,2/1/2022,2110.81,430.401,17.046,4.261,,,,,,,,87.5,703995,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567
1072,SLB,Oceania,Solomon Islands,2/2/2022,3078.147,967.336,21.307,4.261,,,,,,,,87.5,703995,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567
1073,SLB,Oceania,Solomon Islands,2/3/2022,3348.035,269.888,29.83,8.523,,,,,,,,87.5,703995,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567
1074,SLB,Oceania,Solomon Islands,2/4/2022,3348.035,0.0,29.83,0.0,,,,,,,,87.5,703995,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567
1075,SLB,Oceania,Solomon Islands,2/5/2022,3963.096,615.061,35.512,5.682,,,,,,,,87.5,703995,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567
1076,SLB,Oceania,Solomon Islands,2/6/2022,3963.096,0.0,35.512,0.0,,,,,,,,87.5,703995,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567
1077,SLB,Oceania,Solomon Islands,2/7/2022,4714.522,751.426,52.557,17.046,,,,,28.1,11.36,,87.5,703995,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567
1197,TON,Oceania,Tonga,2/1/2022,9.367,0.0,,,,,,,,,,52.78,106759,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725
1198,TON,Oceania,Tonga,2/2/2022,46.834,37.468,,,,,,,69.9,61.8,,96.3,106759,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725
1199,TON,Oceania,Tonga,2/3/2022,56.201,9.367,,,,,,,,,,96.3,106759,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725
1200,TON,Oceania,Tonga,2/4/2022,65.568,9.367,,,,,,,,,,96.3,106759,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725
1201,TON,Oceania,Tonga,2/5/2022,65.568,0.0,,,,,,,,,,96.3,106759,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725
1202,TON,Oceania,Tonga,2/6/2022,65.568,0.0,,,,,,,,,,96.3,106759,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725
1203,TON,Oceania,Tonga,2/7/2022,84.302,18.734,,,,,,,,,,96.3,106759,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725
1281,VUT,Oceania,Vanuatu,2/1/2022,22.26,0.0,3.18,0.0,,,,,,,,22.22,314464,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
1282,VUT,Oceania,Vanuatu,2/2/2022,22.26,0.0,3.18,0.0,,,,,,,,22.22,314464,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
1283,VUT,Oceania,Vanuatu,2/3/2022,22.26,0.0,3.18,0.0,,,,,,,,22.22,314464,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
1284,VUT,Oceania,Vanuatu,2/4/2022,22.26,0.0,3.18,0.0,,,,,,,,22.22,314464,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
1285,VUT,Oceania,Vanuatu,2/5/2022,22.26,0.0,3.18,0.0,,,,,,,,22.22,314464,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
1286,VUT,Oceania,Vanuatu,2/6/2022,22.26,0.0,3.18,0.0,,,,,,,,22.22,314464,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
1287,VUT,Oceania,Vanuatu,2/7/2022,22.26,0.0,3.18,0.0,,,,,35.05,23.47,,22.22,314464,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
