,iso_code,date,new_cases_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,human_development_index,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America
1097,KOR,2/6/2022,687.552,0.253,0.014,0.13140000003890667,7.619999993942692,86.1,48.15,527.967,43.4,13.914,35938.374,0.2,85.998,6.8,6.2,40.9,12.27,0.916,0,1,0,0,0,0
1098,KOR,2/7/2022,715.678,0.702,0.014,0.1314000000389227,7.61999999394037,86.14,46.3,527.967,43.4,13.914,35938.374,0.2,85.998,6.8,6.2,40.9,12.27,0.916,0,1,0,0,0,0
1099,SSD,2/1/2022,1.406,0.0,0.055,0.0165,60.8,6.638333120989074,36.11,241.73854900823628,19.2,3.441,1569.888,10.1,280.775,10.43,0.7,31.200000000000003,1.1000000000000003,0.433,1,0,0,0,0,0
1100,SSD,2/2/2022,0.0,0.0,0.062,0.0118,84.5,4.518722517913542,36.11,149.73481365581043,19.2,3.441,1569.888,10.100000000000001,280.775,10.43,0.522888405311127,24.186380850320635,0.9583107242489018,0.433,1,0,0,0,0,0
1101,SSD,2/3/2022,0.879,0.0,0.068,0.0098,102.4,3.6616229616277467,36.11,112.87892646400904,19.2,3.441,1569.888,10.1,280.775,10.43,0.410014965099071,19.71659261792321,0.8680119720792566,0.433,1,0,0,0,0,0
1102,SSD,2/4/2022,1.142,0.0,0.067,0.0109,91.5,3.4526118502822567,36.11,147.60666124563335,19.2,3.441,1569.888,10.1,280.775,10.43,0.516370806573585,23.928283940313964,0.9530966452588681,0.433,1,0,0,0,0,0
1103,SSD,2/5/2022,0.0,0.0,0.065,0.0104,96.2,2.44,36.11,146.09988316343157,19.2,3.441,1569.888,10.1,280.775,10.43,0.5117562052511654,23.74554572794615,0.9494049642009325,0.433,1,0,0,0,0,0
1104,SSD,2/6/2022,0.0,0.0,0.066,0.0102,97.9,2.82387823831467,36.11,145.53833108690552,19.2,3.441,1569.888,10.100000000000001,280.775,10.43,0.5100364171910963,23.677442120767413,0.9480291337528771,0.433,1,0,0,0,0,0
1105,SSD,2/7/2022,2.021,0.0,0.059,0.0132,75.9,5.49457058901316,36.11,151.99087669752308,19.2,3.441,1569.888,10.100000000000001,280.775,10.43,0.5297977382903647,24.459990436298447,0.9638381906322918,0.433,1,0,0,0,0,0
1106,ESP,2/1/2022,1665.903,8.728,4.642,0.311,3.2,81.94,46.76,93.105,45.5,19.436,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,0.904,0,0,1,0,0,0
1107,ESP,2/2/2022,1844.51,4.792,4.409,0.304,3.3,81.96,46.76,93.105,45.5,19.436,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,0.904,0,0,1,0,0,0
1108,ESP,2/3/2022,1590.922,3.915,4.183,0.298,3.4,81.97,46.76,93.105,45.5,19.436,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,0.904,0,0,1,0,0,0
1109,ESP,2/4/2022,0.0,0.0,3.982,0.294,3.4,81.97640576248142,46.76,93.105,45.5,19.436,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,0.904,0,0,1,0,0,0
1110,ESP,2/5/2022,0.0,0.0,3.88,0.29,3.4,81.98165690359022,46.76,93.105,45.5,19.436,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,0.904,0,0,1,0,0,0
1111,ESP,2/6/2022,0.0,0.0,3.819,0.285,3.5,81.99,46.76,93.105,45.5,19.436,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,0.904,0,0,1,0,0,0
